modelo,metodo,mejor_score,mejores_params
Ridge,GridSearchCV,0.0518,{'model__alpha': 10.0}
Ridge,RandomizedSearchCV,0.0518,{'model__alpha': 10.0}
Lasso,GridSearchCV,0.0577,{'model__alpha': 0.1}
Lasso,RandomizedSearchCV,0.0577,{'model__alpha': 0.1}
RandomForestRegressor,GridSearchCV,0.138,"{'model__max_depth': 5, 'model__n_estimators': 50}"
RandomForestRegressor,RandomizedSearchCV,0.138,"{'model__n_estimators': 50, 'model__max_depth': 5}"
